"","TIV","TGMV","TWMV","TCV","LVV","HCV","AV","id","scanner","segmentation","SITE"
"84",1.677031,7.621484,5.086361,6.095419,10.029311,8.34586,3.440338,"ID_28","VERIO","samseg","VERIO_samseg"
"85",1.348288,6.242084,4.060501,4.9394,10.784364,7.69496,2.773839,"ID_65","SKYRA","samseg","SKYRA_samseg"
"86",1.430038,6.066901,4.135217,4.835006,10.643204,7.318975,3.28252,"ID_50","SKYRA","samseg","SKYRA_samseg"
"87",1.496545,6.817652,4.698861,5.40374,10.05789,8.071158,3.084213,"ID_53","VERIO","samseg","VERIO_samseg"
"88",1.523407,6.997769,5.095866,5.693289,10.27959,8.184054,3.158961,"ID_101","SKYRA","samseg","SKYRA_samseg"
"89",1.554241,7.023416,4.815902,5.604168,10.579626,9.040156,3.023452,"ID_6","VERIO","samseg","VERIO_samseg"
"90",1.476355,6.669871,4.467452,5.692555,10.125623,8.131817,3.089081,"ID_73","VERIO","samseg","VERIO_samseg"
"91",1.464598,6.78023,4.60682,5.494197,9.927619,8.513795,3.069577,"ID_77","SKYRA","samseg","SKYRA_samseg"
"92",1.548573,6.758066,4.792955,5.37177,10.352576,8.104471,3.079483,"ID_103","VERIO","samseg","VERIO_samseg"
"93",1.504996,6.701068,4.793886,5.389141,9.96144,7.596612,2.932043,"ID_24","VERIO","samseg","VERIO_samseg"
"94",1.792424,7.942255,5.773585,6.380847,10.714578,8.271988,3.591917,"ID_58","VERIO","samseg","VERIO_samseg"
"95",1.533047,6.873909,4.798795,5.52731,10.096133,8.215566,3.166346,"ID_9","SKYRA","samseg","SKYRA_samseg"
"96",1.871604,8.68409,5.740599,7.017755,10.618409,8.946631,3.739369,"ID_45","VERIO","samseg","VERIO_samseg"
"97",1.355978,6.15927,4.241711,5.113128,9.902539,7.232287,2.81419,"ID_82","VERIO","samseg","VERIO_samseg"
"98",1.360323,6.305012,4.120584,5.085171,10.356082,7.486372,2.573584,"ID_72","VERIO","samseg","VERIO_samseg"
"99",1.595845,7.091076,5.170544,5.771042,9.901143,7.631918,3.476279,"ID_39","SKYRA","samseg","SKYRA_samseg"
"100",1.615793,6.433628,5.30822,5.176146,10.539469,7.952074,2.965652,"ID_106","VERIO","samseg","VERIO_samseg"
"101",1.567878,6.989315,4.959804,5.519199,10.224611,8.089597,3.124209,"ID_25","VERIO","samseg","VERIO_samseg"
"102",1.279868,5.828797,3.870039,4.717927,9.95183,7.150283,2.782517,"ID_41","VERIO","samseg","VERIO_samseg"
"103",1.42566,6.528323,4.390708,5.256086,10.510683,7.568743,2.945071,"ID_108","SKYRA","samseg","SKYRA_samseg"
"104",1.792496,8.097005,5.703122,6.443785,10.484679,9.843927,3.531543,"ID_75","VERIO","samseg","VERIO_samseg"
"105",1.819732,8.194673,5.744059,6.557541,10.555456,9.964309,3.531231,"ID_75","SKYRA","samseg","SKYRA_samseg"
"106",1.294684,6.075652,4.155516,4.930843,9.855496,7.02658,2.663843,"ID_80","SKYRA","samseg","SKYRA_samseg"
"107",1.495834,6.590962,4.978495,5.352652,10.443484,8.113332,3.072105,"ID_95","SKYRA","samseg","SKYRA_samseg"
"108",1.501383,6.803135,5.188352,5.440274,9.857486,8.201714,3.0191,"ID_97","SKYRA","samseg","SKYRA_samseg"
"109",1.572894,7.251396,5.069137,6.064778,10.669064,9.696032,3.453872,"ID_40","SKYRA","samseg","SKYRA_samseg"
"110",1.599162,7.279032,5.217449,5.977763,10.389778,8.570881,3.163506,"ID_4","SKYRA","samseg","SKYRA_samseg"
"111",1.598689,7.241483,4.899684,5.793358,10.096108,8.507533,3.753292,"ID_3","VERIO","samseg","VERIO_samseg"
"112",1.575482,7.036726,5.10784,5.706853,9.888603,7.784791,3.477294,"ID_39","VERIO","samseg","VERIO_samseg"
"113",1.55633,6.925205,5.077415,5.586888,9.875044,7.989885,3.311989,"ID_46","VERIO","samseg","VERIO_samseg"
"114",1.379618,6.196861,4.160163,5.102636,10.037493,6.857116,2.685083,"ID_121","VERIO","samseg","VERIO_samseg"
"115",1.414694,6.430092,4.588472,4.983325,10.102445,7.276148,2.900565,"ID_92","VERIO","samseg","VERIO_samseg"
"116",1.614605,7.418448,4.804045,5.988731,10.089691,8.815792,3.878602,"ID_3","SKYRA","samseg","SKYRA_samseg"
"117",1.395222,6.515048,4.40873,5.210327,9.839283,7.330943,2.751671,"ID_38","VERIO","samseg","VERIO_samseg"
"118",1.606613,6.966062,5.503114,5.602579,10.134802,8.610079,3.542585,"ID_111","SKYRA","samseg","SKYRA_samseg"
"119",1.396118,6.47008,4.269796,5.361535,10.370792,7.9444,2.91806,"ID_79","SKYRA","samseg","SKYRA_samseg"
"120",1.579256,7.35393,4.766543,5.8104,10.319233,8.134273,2.729152,"ID_91","SKYRA","samseg","SKYRA_samseg"
"121",1.722585,7.766473,5.128357,6.225715,10.293084,8.633749,3.537387,"ID_2","SKYRA","samseg","SKYRA_samseg"
"122",1.437825,6.613206,4.639135,5.433377,10.219478,8.524517,2.987895,"ID_107","VERIO","samseg","VERIO_samseg"
"123",1.41135,6.526299,4.705982,5.308554,9.895041,7.989745,2.998929,"ID_22","SKYRA","samseg","SKYRA_samseg"
"124",1.572297,7.028483,4.865509,5.782906,10.257151,8.45875,3.589725,"ID_33","SKYRA","samseg","SKYRA_samseg"
"125",1.428943,6.529634,4.700395,5.294001,10.335087,7.698294,2.97137,"ID_56","SKYRA","samseg","SKYRA_samseg"
"126",1.485761,6.741053,4.537729,5.502585,10.192135,8.421707,3.225717,"ID_32","SKYRA","samseg","SKYRA_samseg"
"127",1.693174,7.600416,5.472596,6.153535,10.07524,8.879906,3.599944,"ID_20","VERIO","samseg","VERIO_samseg"
"128",1.475338,6.912357,4.662288,5.607676,10.202008,7.642748,2.930565,"ID_67","VERIO","samseg","VERIO_samseg"
"129",1.336164,5.939799,4.168701,4.854266,10.035659,7.347505,2.654392,"ID_12","SKYRA","samseg","SKYRA_samseg"
"130",1.432043,6.336632,4.418479,5.164487,9.937909,8.821253,3.541177,"ID_63","SKYRA","samseg","SKYRA_samseg"
"131",1.660594,6.818814,5.083289,5.554583,10.613476,8.630697,3.532228,"ID_112","SKYRA","samseg","SKYRA_samseg"
"132",1.37447,6.124763,4.895663,4.998358,10.080518,7.125214,3.041043,"ID_37","SKYRA","samseg","SKYRA_samseg"
"133",1.528693,7.018768,4.898503,5.600782,10.121821,8.658563,3.181323,"ID_78","VERIO","samseg","VERIO_samseg"
"134",1.722561,7.797627,5.193571,6.280252,10.259659,8.497254,3.478122,"ID_2","VERIO","samseg","VERIO_samseg"
