"","TIV","TGMV","TWMV","TCV","LVV","HCV","AV","id","scanner","segmentation","SITE"
"111",1.869379,8.682528,5.768627,7.034829,10.638076,8.942384,3.733206,"ID_45","VERIO","samseg","VERIO_samseg"
"112",1.356217,6.1544,4.241034,5.111657,9.907498,7.22277,2.804059,"ID_82","VERIO","samseg","VERIO_samseg"
"113",1.360448,6.30031,4.11838,5.084378,10.362526,7.477908,2.563055,"ID_72","VERIO","samseg","VERIO_samseg"
"114",1.593616,7.084368,5.170983,5.769677,9.906038,7.618253,3.463911,"ID_39","SKYRA","samseg","SKYRA_samseg"
"115",1.614595,6.431856,5.319721,5.182055,10.54293,7.949306,2.957817,"ID_106","VERIO","samseg","VERIO_samseg"
"116",1.567373,6.984721,4.96584,5.518577,10.228512,8.081535,3.114316,"ID_25","VERIO","samseg","VERIO_samseg"
"117",1.280498,5.824248,3.865162,4.714445,9.953912,7.141578,2.772287,"ID_41","VERIO","samseg","VERIO_samseg"
"118",1.425639,6.52656,4.391252,5.257535,10.516263,7.555364,2.934266,"ID_108","SKYRA","samseg","SKYRA_samseg"
"119",1.667126,7.727758,5.213447,6.26574,10.061048,8.622602,3.668036,"ID_109","VERIO","samseg","VERIO_samseg"
"120",1.789904,8.09173,5.717802,6.452941,10.49251,9.837155,3.522385,"ID_75","VERIO","samseg","VERIO_samseg"
"121",1.814011,8.175994,5.74376,6.551609,10.555554,9.941532,3.518363,"ID_75","SKYRA","samseg","SKYRA_samseg"
"122",1.295776,6.07559,4.15543,4.933802,9.854808,7.017054,2.653525,"ID_80","SKYRA","samseg","SKYRA_samseg"
"123",1.493986,6.588422,4.987639,5.359513,10.439803,8.099773,3.061118,"ID_95","SKYRA","samseg","SKYRA_samseg"
"124",1.499671,6.798101,5.19444,5.445324,9.850708,8.185141,3.008176,"ID_97","SKYRA","samseg","SKYRA_samseg"
"125",1.570376,7.241005,5.068929,6.06154,10.669289,9.674466,3.441231,"ID_40","SKYRA","samseg","SKYRA_samseg"
"126",1.596412,7.267778,5.214641,5.974718,10.381867,8.553265,3.151613,"ID_4","SKYRA","samseg","SKYRA_samseg"
"127",1.597876,7.23625,4.904628,5.794288,10.101646,8.497356,3.744251,"ID_3","VERIO","samseg","VERIO_samseg"
"128",1.574572,7.031113,5.115342,5.707603,9.895631,7.773048,3.467964,"ID_39","VERIO","samseg","VERIO_samseg"
"129",1.555171,6.920281,5.084173,5.590005,9.872121,7.981363,3.302362,"ID_46","VERIO","samseg","VERIO_samseg"
"130",1.707608,7.501946,5.675209,6.201094,10.801756,9.068701,3.614517,"ID_100","SKYRA","samseg","SKYRA_samseg"
"131",1.40714,6.147359,4.519391,4.995335,10.49281,7.635045,2.643824,"ID_55","SKYRA","samseg","SKYRA_samseg"
"132",1.628402,7.001184,5.287164,5.595431,10.151627,8.705706,3.517554,"ID_30","VERIO","samseg","VERIO_samseg"
"133",1.379485,6.190724,4.148966,5.100082,10.027604,6.837665,2.673547,"ID_121","VERIO","samseg","VERIO_samseg"
"134",1.470019,6.50163,4.364659,5.234786,10.869392,8.138851,3.051665,"ID_113","VERIO","samseg","VERIO_samseg"
"135",1.414255,6.424007,4.582683,4.980934,10.098863,7.258231,2.889706,"ID_92","VERIO","samseg","VERIO_samseg"
"136",1.612492,7.410582,4.805137,5.987467,10.091609,8.797455,3.865308,"ID_3","SKYRA","samseg","SKYRA_samseg"
"137",1.395214,6.510064,4.409835,5.209567,9.843559,7.321497,2.74145,"ID_38","VERIO","samseg","VERIO_samseg"
"138",1.603199,6.953632,5.498497,5.59971,10.137155,8.591817,3.53015,"ID_111","SKYRA","samseg","SKYRA_samseg"
"139",1.396118,6.465873,4.265812,5.361769,10.359833,7.928328,2.906873,"ID_79","SKYRA","samseg","SKYRA_samseg"
"140",1.576785,7.343293,4.766917,5.808596,10.322321,8.119424,2.718743,"ID_91","SKYRA","samseg","SKYRA_samseg"
"141",1.718918,7.754691,5.128946,6.222355,10.297322,8.615559,3.524967,"ID_2","SKYRA","samseg","SKYRA_samseg"
"142",1.437408,6.608303,4.637708,5.435224,10.212993,8.512304,2.977416,"ID_107","VERIO","samseg","VERIO_samseg"
"143",1.410943,6.521833,4.704663,5.30925,9.890436,7.975583,2.987553,"ID_22","SKYRA","samseg","SKYRA_samseg"
"144",1.569787,7.014944,4.857992,5.777435,10.254054,8.440915,3.577003,"ID_33","SKYRA","samseg","SKYRA_samseg"
"145",1.428879,6.527859,4.700897,5.295243,10.34047,7.68433,2.960487,"ID_56","SKYRA","samseg","SKYRA_samseg"
"146",1.484503,6.735801,4.538133,5.502463,10.195081,8.405562,3.213848,"ID_32","SKYRA","samseg","SKYRA_samseg"
"147",1.69107,7.593829,5.475401,6.158676,10.065758,8.861906,3.589716,"ID_20","VERIO","samseg","VERIO_samseg"
"148",1.474688,6.907437,4.664617,5.610945,10.202613,7.633977,2.920391,"ID_67","VERIO","samseg","VERIO_samseg"
"149",1.336429,5.937762,4.163378,4.856003,10.034417,7.332688,2.644128,"ID_12","SKYRA","samseg","SKYRA_samseg"
"150",1.647521,6.893369,5.505733,5.634715,10.710662,7.979596,3.441971,"ID_54","VERIO","samseg","VERIO_samseg"
"151",1.431476,6.331622,4.411052,5.163675,9.930321,8.798486,3.528117,"ID_63","SKYRA","samseg","SKYRA_samseg"
"152",1.656939,6.807117,5.075743,5.55036,10.610778,8.612086,3.519675,"ID_112","SKYRA","samseg","SKYRA_samseg"
"153",1.374527,6.12427,4.895478,5.000948,10.080083,7.115244,3.029616,"ID_37","SKYRA","samseg","SKYRA_samseg"
"154",1.528201,7.013248,4.903366,5.600254,10.130044,8.647257,3.171479,"ID_78","VERIO","samseg","VERIO_samseg"
"155",1.72085,7.791857,5.201582,6.2847,10.26937,8.485832,3.468703,"ID_2","VERIO","samseg","VERIO_samseg"
"156",1.445229,6.394917,4.424953,5.227264,9.919963,8.94425,3.595883,"ID_63","VERIO","samseg","VERIO_samseg"
"157",1.598791,7.12075,5.182552,5.81775,10.306191,8.468401,3.200012,"ID_18","VERIO","samseg","VERIO_samseg"
"158",1.302895,6.059082,4.354093,4.965018,9.802977,6.976597,2.724516,"ID_59","SKYRA","samseg","SKYRA_samseg"
"159",1.513318,6.829475,4.880457,5.508858,10.069195,8.224123,3.256136,"ID_114","SKYRA","samseg","SKYRA_samseg"
"160",1.751381,7.688772,5.162829,6.131486,10.884468,9.57184,3.31863,"ID_105","VERIO","samseg","VERIO_samseg"
"161",1.56734,7.169696,5.276524,5.875361,10.237531,7.745936,3.140444,"ID_68","VERIO","samseg","VERIO_samseg"
"162",1.641838,7.410329,5.089616,6.047667,10.270377,8.624874,2.914936,"ID_1","SKYRA","samseg","SKYRA_samseg"
"163",1.422488,6.310406,4.765619,5.198831,10.106192,7.72159,3.362042,"ID_110","SKYRA","samseg","SKYRA_samseg"
"164",1.50146,6.684467,4.837071,5.397593,9.947306,7.542962,2.883629,"ID_24","SKYRA","samseg","SKYRA_samseg"
"165",1.942501,8.766459,5.919112,7.350262,10.976006,9.316153,3.6171,"ID_35","SKYRA","samseg","SKYRA_samseg"
"166",1.338661,6.246018,4.222582,5.018607,9.841121,7.077447,2.856179,"ID_57","VERIO","samseg","VERIO_samseg"
"167",1.300972,5.426349,4.030935,4.248625,11.079287,6.83812,2.919467,"ID_96","VERIO","samseg","VERIO_samseg"
"168",1.761747,7.963516,5.22673,6.509886,11.5778,8.704232,3.672653,"ID_8","SKYRA","samseg","SKYRA_samseg"
"169",1.652493,7.131214,5.332249,5.870943,10.00755,9.284085,3.41177,"ID_85","VERIO","samseg","VERIO_samseg"
"170",1.464079,6.4779,4.376378,5.206985,10.84462,8.213168,3.099308,"ID_113","SKYRA","samseg","SKYRA_samseg"
"171",1.496297,6.643906,4.843036,5.312125,10.219694,7.059686,2.940143,"ID_62","VERIO","samseg","VERIO_samseg"
"172",1.663409,7.73468,5.243495,6.277563,10.02659,8.635659,3.658385,"ID_109","SKYRA","samseg","SKYRA_samseg"
"173",1.267734,5.793468,3.938935,4.633856,10.157049,7.607708,2.810324,"ID_7","SKYRA","samseg","SKYRA_samseg"
"174",1.50278,7.002769,4.902436,5.630685,9.861105,8.031298,3.251233,"ID_19","SKYRA","samseg","SKYRA_samseg"
"175",1.811886,7.88211,6.011347,6.566809,10.250394,8.820103,3.843261,"ID_44","VERIO","samseg","VERIO_samseg"
"176",1.481043,6.723279,4.989139,5.549022,9.900338,8.141757,2.979112,"ID_88","VERIO","samseg","VERIO_samseg"
"177",1.689558,7.614998,5.488,6.205223,10.052976,8.751088,3.601683,"ID_20","SKYRA","samseg","SKYRA_samseg"
"178",1.615686,6.959832,5.538671,5.617631,10.147096,8.455475,3.519848,"ID_111","VERIO","samseg","VERIO_samseg"
"179",1.589394,7.057644,5.068997,5.605246,10.252412,8.243626,3.256941,"ID_25","SKYRA","samseg","SKYRA_samseg"
"180",1.339781,6.126913,4.118882,4.904242,10.164281,7.074987,2.88029,"ID_60","SKYRA","samseg","SKYRA_samseg"
